youtube_id,title,duration_sec,guessed_tournament_id,tournament_guess_label,year,kind,stage,leg,score,player_a_guess,player_a_id_guess,player_b_guess,player_b_id_guess,game_id_guess,source,source_channel,source_playlist,relation_group,relation,featured_final,confidence,verified,notes,external_url
mZe4uA7CG00,"Kick Off 2 Amiga, WC 2008 Athens, The Final leg 2, Gianni T - Dagh N (8 - 2)",717,358,World Cup VIII (Athens),2008,match,final,2,8 - 2,Gianni T,149,Dagh N,73,14263,wc_finals_playlist,,PL_BZxDPPd88YKbQHLod_1EFHPa2iJSIQY,,,true,high,,"Also in: alkelele_channel, forum_index",http://www.kickoff2.it/tmp/video_ko2/wc2008/Athens08_08_Final_A_Dagh_Gianni_6-4.avi
mviyUyoihmk,"Kick Off 2 Amiga, Milan I 2003, Gianni T - Filippo D (2 - 3)",806,89,Milan,2003,match,,,2 - 3,Gianni T,149,Filippo D,114,2341,forum_index,alkelele,,,,false,medium,Y,Also in: alkelele_channel,
mx0jEWsyobI,Kick Off 2 Amiga Two pinballs and a fluke,37,,,,coverage,,,,,,,,,alkelele_channel,alkelele,,,,false,low,,,
n-UGRK8G-3M,Panasonic vs Gianni 3-4-2011,679,499,Athens LXXVIII,2011,match,,,3 - 6,Panayotis P,354,Gianni T,149,18870,forum_index,costas,,,,false,medium,Y,Also in: costas_channel,
n-lLmj9Bn6c,"Kick Off 2 Amiga, shot height, part 12",11,,,,stream,,,,,,,,,alkelele_channel,alkelele,,,,false,low,,,
n0bjJU_-Pho,KOA_WC2007_7_Shame_Astrid_vs_AndreasK,702,280,World Cup VII (Rome),2007,match,shame,,,,,,,11447,ko2cv_channel,ko2cv,,,,false,low,,,
n628wK6NuPE,Kick Off 2 World Cup 2014 - Presentations,1195,577,World Cup XIV (Copenhagen),2014,ceremony,,,,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
nHCgeNguYjo,Athens08_06_Semi2_B_Gianni_Panayotis_8-3.avi,667,,,,coverage,,,,,,,,,ko2cv_channel,ko2cv,,,,false,low,,,
nWgq4EJIOJk,Kick Off 2 WC2011 - 1. Silver Cup Final - Jorn vs Jorg.avi,742,526,World Cup XI (Birmingham),2011,match,final,,,Jorn F,221,Jorg P,219,20009,ko2cv_channel,ko2cv,,,,false,low,,,
nc5Yn3r0tpo,"Kick Off 2 Amiga, Milan I 2003, The Final leg 1, Gianluca T - Gianni T (1 - 3)",712,89,Milan,2003,match,final,1,1 - 3,Gianluca T,148,Gianni T,149,2413,forum_index,alkelele,,,,false,medium,Y,Also in: alkelele_channel,
o-mKEhGVUjc,Kick Off 2 World Cup 2022 Part7 3rdPlace Fabio vs Chris,792,14,World Cup XX (Athens),2022,stream,,,,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
oHcgm2-b9eg,"Kick Off 2 Amiga, WC 2005 Cologne, The Final 2nd leg, Gianni T - Gianluca T (2 - 7)",719,169,World Cup V (Cologne),2005,match,final,,2 - 7,Gianni T,149,Gianluca T,148,6586,wc_finals_playlist,,PL_BZxDPPd88YKbQHLod_1EFHPa2iJSIQY,,,true,high,,"Also in: alkelele_channel, forum_index",http://www.kickoffworld.net/Download/media/2005WorldCup/KOA_WC2005_Final_Game1_GianlucaVsGianni.wmv
oMT6gCY322c,Kick Off 2 WC2011 - 4. Semi1b - Lorenzo vs Gianni.avi,721,526,World Cup XI (Birmingham),2011,match,semi,,,Lorenzo C,253,Gianni T,149,20106,ko2cv_channel,ko2cv,,,,false,low,,,
oVJslPzb2b4,"Kick Off 2 Amiga, WC 2003 Groningen, Semi Final leg 2, Nikos A - Gianluca T (3 - 3)",668,115,World Cup III (Groningen),2003,match,semi,2,3 - 3,Nikos A,338,Gianluca T,148,3619,forum_index,alkelele,,,,false,high,,Also in: alkelele_channel,http://www.ko-gathering.com/media/tournaments/Groningen2003/videos/Semis1-AlkisvsMartinJ.wmv
p0iNyuWlDIs,"Kick Off 2 Amiga, WC 2003 Groningen, Semi Final leg 2, Martin J - Alkis P (1 - 2)",713,115,World Cup III (Groningen),2003,match,semi,2,1 - 2,Martin J,295,Alkis P,14,3617,forum_index,alkelele,,,,false,high,,Also in: alkelele_channel,http://www.ko-gathering.com/media/tournaments/Groningen2003/videos/Semis1-AlkisvsMartinJ.wmv
p5d5s11rHMw,KO2 UKC 2002,534,66,World Cup II (Athens),2002,coverage,,,,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
pIDEAsFjR-o,Ektoras vs Robert 3-4-2011,635,499,Athens LXXVIII,2011,match,,,4 - 5,Ektoras K,100,Robert S,386,18916,forum_index,costas,,,,false,medium,Y,Also in: costas_channel,
pO11NmkWHwk,11 - Kick Off 2 World Cup 2012 Presentations Part2,1367,554,World Cup XII (Milan),2012,ceremony,,,,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
pZC2wayc8Hk,Kick Off 2 World Cup 2015 - Final (1st leg) - Andy vs Gianni,689,585,World Cup XV (Dublin),2015,match,final,,,Andy G,30,Gianni T,149,23050,wc_finals_playlist,,PL_BZxDPPd88YKbQHLod_1EFHPa2iJSIQY,,,true,medium,,Also in: ko2cv_channel,
qYJoeg727ns,Kick Off 2 World Cup 2024 - Semi Final 1B AndyG vs FabioF,691,20,World Cup XXII (Nottingham),2024,match,semi,,,Andy G,30,Fabio F,109,26873,ko2cv_channel,ko2cv,,,,false,medium,,,
qbivyMf5tzk,Kick Off 2 WC2001 Dartford Part4a Sunday,597,26,World Cup I (Dartford),2001,stream,,,,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
qdjwpEKcKog,Kick Off 2 WC2001 Dartford Part1 Friday,275,26,World Cup I (Dartford),2001,stream,,,,,,,,,ko2cv_channel,ko2cv,,,,false,medium,,,
qhpd0y30pMs,Kick Off 2 Amiga 2014 July 10,85,577,World Cup XIV (Copenhagen),2014,coverage,,,,,,,,,alkelele_channel,alkelele,,,,false,medium,,,
qkuI-DlWtlY,Michael vs George 3-4-2011,856,499,Athens LXXVIII,2011,match,,,1 - 2,Michael Ma,319,George Ka,141,18927,forum_index,costas,,,,false,medium,Y,Also in: costas_channel,
r3VCe2ULxtY,Kick Off 2 UKC 2002 Cup Final Screech vs Bill,710,75,Gloucester I Cup,2002,match,final,,2-7,Steve S,424,Bill V,44,606,ko2cv_channel,ko2cv,,,,false,low,Y,Screech = Steve S; UKC 2002 cup final,
r51TubowiOA,"Kick Off 2 Amiga, shot height, part 8",6,,,,stream,,,,,,,,,alkelele_channel,alkelele,,,,false,low,,,
rOunQzfpmGM,Kick Off 2 Amiga Goal Scoring Tutorial,593,,,,coverage,,,,,,,,,alkelele_channel,alkelele,,,,false,low,,,
rWC_SyUpVsY,Athens08_03_Semi1_A_Dagh_Alkis_7-5.avi,718,,,,coverage,,,,,,,,,ko2cv_channel,ko2cv,,,,false,low,,,
rY3wB0A1RL8,Kick Off 2 Amiga Height Traps,34,,,,coverage,,,,,,,,,alkelele_channel,alkelele,,,,false,low,,,
